"filename", "language", "Python", "HTML", "CSS", "XML", "JavaScript", "pip requirements", "comment", "blank", "total"
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0005_appointments.py", "Python", 23, 0, 0, 0, 0, 0, 1, 6, 30
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0006_appointment_delete_appointments.py", "Python", 26, 0, 0, 0, 0, 0, 1, 6, 33
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0007_appointment_total.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0008_appointment_created_at.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0009_alter_appointment_schedule.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0010_rename_adress_saloon_address.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0011_saloon_admin.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0012_appointment_is_completed_appointment_is_paid.py", "Python", 17, 0, 0, 0, 0, 0, 1, 6, 24
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/models.py", "Python", 50, 0, 0, 0, 0, 0, 10, 14, 74
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/scheduler/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/scheduler/apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/scheduler/context_processors.py", "Python", 8, 0, 0, 0, 0, 0, 0, 6, 14
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/scheduler/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/scheduler/services.py", "Python", 58, 0, 0, 0, 0, 0, 15, 14, 87
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/scheduler/urls.py", "Python", 15, 0, 0, 0, 0, 0, 1, 0, 16
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/scheduler/views/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/scheduler/views/modal.py", "Python", 102, 0, 0, 0, 0, 0, 31, 32, 165
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/scheduler/views/payment.py", "Python", 75, 0, 0, 0, 0, 0, 20, 22, 117
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/admin.py", "Python", 6, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/migrations/0001_initial.py", "Python", 32, 0, 0, 0, 0, 0, 1, 7, 40
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/migrations/0002_remove_user_username.py", "Python", 11, 0, 0, 0, 0, 0, 1, 6, 18
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/migrations/0003_rename_first_name_user_username_and_more.py", "Python", 16, 0, 0, 0, 0, 0, 1, 6, 23
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/migrations/0004_user_saloon.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/migrations/0005_user_total_spent.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/migrations/0006_admin.py", "Python", 18, 0, 0, 0, 0, 0, 1, 6, 25
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/migrations/0007_alter_user_is_active.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/models.py", "Python", 63, 0, 0, 0, 0, 0, 21, 24, 108
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/urls.py", "Python", 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/users/views.py", "Python", 39, 0, 0, 0, 0, 0, 12, 9, 60
"/Users/Durval/Developer/Django/Appointment-Scheduler/manage.py", "Python", 17, 0, 0, 0, 0, 0, 3, 4, 24
"/Users/Durval/Developer/Django/Appointment-Scheduler/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 14, 0, 1, 15
"Total", "-", 1786, 1654, 51, 2, 214, 14, 523, 825, 5069
